analysis,layer,key1,key2,cka
within_pe,0,learned,learned,0.974579
within_pe,1,learned,learned,0.932874
within_pe,2,learned,learned,0.900348
within_pe,3,learned,learned,0.885331
within_pe,4,learned,learned,0.862936
within_pe,5,learned,learned,0.845318
within_pe,6,learned,learned,0.838472
within_pe,7,learned,learned,0.810973
within_pe,8,learned,learned,0.784256
within_pe,9,learned,learned,0.752000
within_pe,10,learned,learned,0.764777
within_pe,11,learned,learned,0.791422
within_pe,0,sinusoidal,sinusoidal,0.982714
within_pe,1,sinusoidal,sinusoidal,0.956078
within_pe,2,sinusoidal,sinusoidal,0.913609
within_pe,3,sinusoidal,sinusoidal,0.903998
within_pe,4,sinusoidal,sinusoidal,0.877812
within_pe,5,sinusoidal,sinusoidal,0.859223
within_pe,6,sinusoidal,sinusoidal,0.840660
within_pe,7,sinusoidal,sinusoidal,0.811917
within_pe,8,sinusoidal,sinusoidal,0.776086
within_pe,9,sinusoidal,sinusoidal,0.740707
within_pe,10,sinusoidal,sinusoidal,0.764742
within_pe,11,sinusoidal,sinusoidal,0.801944
within_pe,0,rope,rope,0.965904
within_pe,1,rope,rope,0.941218
within_pe,2,rope,rope,0.919293
within_pe,3,rope,rope,0.883222
within_pe,4,rope,rope,0.863596
within_pe,5,rope,rope,0.849433
within_pe,6,rope,rope,0.830595
within_pe,7,rope,rope,0.806410
within_pe,8,rope,rope,0.771914
within_pe,9,rope,rope,0.743883
within_pe,10,rope,rope,0.762500
within_pe,11,rope,rope,0.809189
within_pe,0,alibi,alibi,0.953649
within_pe,1,alibi,alibi,0.901201
within_pe,2,alibi,alibi,0.854994
within_pe,3,alibi,alibi,0.866597
within_pe,4,alibi,alibi,0.847317
within_pe,5,alibi,alibi,0.844444
within_pe,6,alibi,alibi,0.824833
within_pe,7,alibi,alibi,0.800188
within_pe,8,alibi,alibi,0.758917
within_pe,9,alibi,alibi,0.727998
within_pe,10,alibi,alibi,0.758402
within_pe,11,alibi,alibi,0.805504
cross_pe,0,learned,sinusoidal,0.946885
cross_pe,1,learned,sinusoidal,0.898694
cross_pe,2,learned,sinusoidal,0.882525
cross_pe,3,learned,sinusoidal,0.877081
cross_pe,4,learned,sinusoidal,0.854241
cross_pe,5,learned,sinusoidal,0.828209
cross_pe,6,learned,sinusoidal,0.818263
cross_pe,7,learned,sinusoidal,0.790275
cross_pe,8,learned,sinusoidal,0.757978
cross_pe,9,learned,sinusoidal,0.724027
cross_pe,10,learned,sinusoidal,0.744477
cross_pe,11,learned,sinusoidal,0.781053
cross_pe,0,learned,rope,0.969489
cross_pe,1,learned,rope,0.926615
cross_pe,2,learned,rope,0.886876
cross_pe,3,learned,rope,0.869460
cross_pe,4,learned,rope,0.849101
cross_pe,5,learned,rope,0.823330
cross_pe,6,learned,rope,0.800408
cross_pe,7,learned,rope,0.769719
cross_pe,8,learned,rope,0.732384
cross_pe,9,learned,rope,0.699583
cross_pe,10,learned,rope,0.705993
cross_pe,11,learned,rope,0.751568
cross_pe,0,learned,alibi,0.907173
cross_pe,1,learned,alibi,0.893976
cross_pe,2,learned,alibi,0.858088
cross_pe,3,learned,alibi,0.852747
cross_pe,4,learned,alibi,0.831872
cross_pe,5,learned,alibi,0.818184
cross_pe,6,learned,alibi,0.803164
cross_pe,7,learned,alibi,0.775954
cross_pe,8,learned,alibi,0.739075
cross_pe,9,learned,alibi,0.703963
cross_pe,10,learned,alibi,0.731329
cross_pe,11,learned,alibi,0.779629
cross_pe,0,sinusoidal,rope,0.939243
cross_pe,1,sinusoidal,rope,0.880214
cross_pe,2,sinusoidal,rope,0.894559
cross_pe,3,sinusoidal,rope,0.878838
cross_pe,4,sinusoidal,rope,0.852980
cross_pe,5,sinusoidal,rope,0.828392
cross_pe,6,sinusoidal,rope,0.808495
cross_pe,7,sinusoidal,rope,0.778298
cross_pe,8,sinusoidal,rope,0.739503
cross_pe,9,sinusoidal,rope,0.706054
cross_pe,10,sinusoidal,rope,0.727178
cross_pe,11,sinusoidal,rope,0.778804
cross_pe,0,sinusoidal,alibi,0.907565
cross_pe,1,sinusoidal,alibi,0.876534
cross_pe,2,sinusoidal,alibi,0.867724
cross_pe,3,sinusoidal,alibi,0.864607
cross_pe,4,sinusoidal,alibi,0.833044
cross_pe,5,sinusoidal,alibi,0.818253
cross_pe,6,sinusoidal,alibi,0.802822
cross_pe,7,sinusoidal,alibi,0.778236
cross_pe,8,sinusoidal,alibi,0.739894
cross_pe,9,sinusoidal,alibi,0.707032
cross_pe,10,sinusoidal,alibi,0.736065
cross_pe,11,sinusoidal,alibi,0.792997
cross_pe,0,rope,alibi,0.905625
cross_pe,1,rope,alibi,0.901025
cross_pe,2,rope,alibi,0.872599
cross_pe,3,rope,alibi,0.861149
cross_pe,4,rope,alibi,0.838734
cross_pe,5,rope,alibi,0.821027
cross_pe,6,rope,alibi,0.797121
cross_pe,7,rope,alibi,0.769899
cross_pe,8,rope,alibi,0.729281
cross_pe,9,rope,alibi,0.694185
cross_pe,10,rope,alibi,0.716070
cross_pe,11,rope,alibi,0.781458
cross_pe,0,learned,learned,0.974579
cross_pe,1,learned,learned,0.932874
cross_pe,2,learned,learned,0.900348
cross_pe,3,learned,learned,0.885331
cross_pe,4,learned,learned,0.862936
cross_pe,5,learned,learned,0.845318
cross_pe,6,learned,learned,0.838472
cross_pe,7,learned,learned,0.810973
cross_pe,8,learned,learned,0.784256
cross_pe,9,learned,learned,0.752000
cross_pe,10,learned,learned,0.764777
cross_pe,11,learned,learned,0.791422
cross_pe,0,sinusoidal,sinusoidal,0.982714
cross_pe,1,sinusoidal,sinusoidal,0.956078
cross_pe,2,sinusoidal,sinusoidal,0.913609
cross_pe,3,sinusoidal,sinusoidal,0.903998
cross_pe,4,sinusoidal,sinusoidal,0.877812
cross_pe,5,sinusoidal,sinusoidal,0.859223
cross_pe,6,sinusoidal,sinusoidal,0.840660
cross_pe,7,sinusoidal,sinusoidal,0.811917
cross_pe,8,sinusoidal,sinusoidal,0.776086
cross_pe,9,sinusoidal,sinusoidal,0.740707
cross_pe,10,sinusoidal,sinusoidal,0.764742
cross_pe,11,sinusoidal,sinusoidal,0.801944
cross_pe,0,rope,rope,0.965904
cross_pe,1,rope,rope,0.941218
cross_pe,2,rope,rope,0.919293
cross_pe,3,rope,rope,0.883222
cross_pe,4,rope,rope,0.863596
cross_pe,5,rope,rope,0.849433
cross_pe,6,rope,rope,0.830595
cross_pe,7,rope,rope,0.806410
cross_pe,8,rope,rope,0.771914
cross_pe,9,rope,rope,0.743883
cross_pe,10,rope,rope,0.762500
cross_pe,11,rope,rope,0.809189
cross_pe,0,alibi,alibi,0.953649
cross_pe,1,alibi,alibi,0.901201
cross_pe,2,alibi,alibi,0.854994
cross_pe,3,alibi,alibi,0.866597
cross_pe,4,alibi,alibi,0.847317
cross_pe,5,alibi,alibi,0.844444
cross_pe,6,alibi,alibi,0.824833
cross_pe,7,alibi,alibi,0.800188
cross_pe,8,alibi,alibi,0.758917
cross_pe,9,alibi,alibi,0.727998
cross_pe,10,alibi,alibi,0.758402
cross_pe,11,alibi,alibi,0.805504
