analysis,layer,key1,key2,cka
within_pe,0,learned,learned,0.974967
within_pe,1,learned,learned,0.934289
within_pe,2,learned,learned,0.900296
within_pe,3,learned,learned,0.883682
within_pe,4,learned,learned,0.861078
within_pe,5,learned,learned,0.843829
within_pe,6,learned,learned,0.838058
within_pe,7,learned,learned,0.810052
within_pe,8,learned,learned,0.783509
within_pe,9,learned,learned,0.751499
within_pe,10,learned,learned,0.759966
within_pe,11,learned,learned,0.790466
within_pe,0,sinusoidal,sinusoidal,0.983501
within_pe,1,sinusoidal,sinusoidal,0.956240
within_pe,2,sinusoidal,sinusoidal,0.912886
within_pe,3,sinusoidal,sinusoidal,0.902756
within_pe,4,sinusoidal,sinusoidal,0.877509
within_pe,5,sinusoidal,sinusoidal,0.857990
within_pe,6,sinusoidal,sinusoidal,0.839942
within_pe,7,sinusoidal,sinusoidal,0.811541
within_pe,8,sinusoidal,sinusoidal,0.775573
within_pe,9,sinusoidal,sinusoidal,0.738743
within_pe,10,sinusoidal,sinusoidal,0.762221
within_pe,11,sinusoidal,sinusoidal,0.803349
within_pe,0,rope,rope,0.967738
within_pe,1,rope,rope,0.942419
within_pe,2,rope,rope,0.919055
within_pe,3,rope,rope,0.881869
within_pe,4,rope,rope,0.862553
within_pe,5,rope,rope,0.848659
within_pe,6,rope,rope,0.828595
within_pe,7,rope,rope,0.805513
within_pe,8,rope,rope,0.770759
within_pe,9,rope,rope,0.744341
within_pe,10,rope,rope,0.763583
within_pe,11,rope,rope,0.811849
within_pe,0,alibi,alibi,0.953650
within_pe,1,alibi,alibi,0.904180
within_pe,2,alibi,alibi,0.857274
within_pe,3,alibi,alibi,0.865576
within_pe,4,alibi,alibi,0.846555
within_pe,5,alibi,alibi,0.844747
within_pe,6,alibi,alibi,0.823788
within_pe,7,alibi,alibi,0.798958
within_pe,8,alibi,alibi,0.758482
within_pe,9,alibi,alibi,0.726662
within_pe,10,alibi,alibi,0.755700
within_pe,11,alibi,alibi,0.807788
cross_pe,0,learned,sinusoidal,0.947311
cross_pe,1,learned,sinusoidal,0.901756
cross_pe,2,learned,sinusoidal,0.882151
cross_pe,3,learned,sinusoidal,0.875888
cross_pe,4,learned,sinusoidal,0.852848
cross_pe,5,learned,sinusoidal,0.827203
cross_pe,6,learned,sinusoidal,0.817643
cross_pe,7,learned,sinusoidal,0.790081
cross_pe,8,learned,sinusoidal,0.758393
cross_pe,9,learned,sinusoidal,0.722584
cross_pe,10,learned,sinusoidal,0.740957
cross_pe,11,learned,sinusoidal,0.784058
cross_pe,0,learned,rope,0.970403
cross_pe,1,learned,rope,0.928871
cross_pe,2,learned,rope,0.886729
cross_pe,3,learned,rope,0.868370
cross_pe,4,learned,rope,0.848286
cross_pe,5,learned,rope,0.822643
cross_pe,6,learned,rope,0.799036
cross_pe,7,learned,rope,0.769126
cross_pe,8,learned,rope,0.731524
cross_pe,9,learned,rope,0.698974
cross_pe,10,learned,rope,0.704042
cross_pe,11,learned,rope,0.759496
cross_pe,0,learned,alibi,0.910357
cross_pe,1,learned,alibi,0.897172
cross_pe,2,learned,alibi,0.857452
cross_pe,3,learned,alibi,0.851932
cross_pe,4,learned,alibi,0.830698
cross_pe,5,learned,alibi,0.818009
cross_pe,6,learned,alibi,0.802841
cross_pe,7,learned,alibi,0.775826
cross_pe,8,learned,alibi,0.739212
cross_pe,9,learned,alibi,0.703492
cross_pe,10,learned,alibi,0.727012
cross_pe,11,learned,alibi,0.781815
cross_pe,0,sinusoidal,rope,0.940617
cross_pe,1,sinusoidal,rope,0.884478
cross_pe,2,sinusoidal,rope,0.895134
cross_pe,3,sinusoidal,rope,0.878013
cross_pe,4,sinusoidal,rope,0.852847
cross_pe,5,sinusoidal,rope,0.827917
cross_pe,6,sinusoidal,rope,0.807071
cross_pe,7,sinusoidal,rope,0.777501
cross_pe,8,sinusoidal,rope,0.738421
cross_pe,9,sinusoidal,rope,0.703782
cross_pe,10,sinusoidal,rope,0.726592
cross_pe,11,sinusoidal,rope,0.784180
cross_pe,0,sinusoidal,alibi,0.909997
cross_pe,1,sinusoidal,alibi,0.880585
cross_pe,2,sinusoidal,alibi,0.868900
cross_pe,3,sinusoidal,alibi,0.864662
cross_pe,4,sinusoidal,alibi,0.833633
cross_pe,5,sinusoidal,alibi,0.818511
cross_pe,6,sinusoidal,alibi,0.802587
cross_pe,7,sinusoidal,alibi,0.778109
cross_pe,8,sinusoidal,alibi,0.740054
cross_pe,9,sinusoidal,alibi,0.705589
cross_pe,10,sinusoidal,alibi,0.734160
cross_pe,11,sinusoidal,alibi,0.793425
cross_pe,0,rope,alibi,0.909225
cross_pe,1,rope,alibi,0.903534
cross_pe,2,rope,alibi,0.873964
cross_pe,3,rope,alibi,0.860180
cross_pe,4,rope,alibi,0.838138
cross_pe,5,rope,alibi,0.820767
cross_pe,6,rope,alibi,0.796320
cross_pe,7,rope,alibi,0.769190
cross_pe,8,rope,alibi,0.728030
cross_pe,9,rope,alibi,0.692639
cross_pe,10,rope,alibi,0.715017
cross_pe,11,rope,alibi,0.783675
cross_pe,0,learned,learned,0.974967
cross_pe,1,learned,learned,0.934289
cross_pe,2,learned,learned,0.900296
cross_pe,3,learned,learned,0.883682
cross_pe,4,learned,learned,0.861078
cross_pe,5,learned,learned,0.843829
cross_pe,6,learned,learned,0.838058
cross_pe,7,learned,learned,0.810052
cross_pe,8,learned,learned,0.783509
cross_pe,9,learned,learned,0.751499
cross_pe,10,learned,learned,0.759966
cross_pe,11,learned,learned,0.790466
cross_pe,0,sinusoidal,sinusoidal,0.983501
cross_pe,1,sinusoidal,sinusoidal,0.956240
cross_pe,2,sinusoidal,sinusoidal,0.912886
cross_pe,3,sinusoidal,sinusoidal,0.902756
cross_pe,4,sinusoidal,sinusoidal,0.877509
cross_pe,5,sinusoidal,sinusoidal,0.857990
cross_pe,6,sinusoidal,sinusoidal,0.839942
cross_pe,7,sinusoidal,sinusoidal,0.811541
cross_pe,8,sinusoidal,sinusoidal,0.775573
cross_pe,9,sinusoidal,sinusoidal,0.738743
cross_pe,10,sinusoidal,sinusoidal,0.762221
cross_pe,11,sinusoidal,sinusoidal,0.803349
cross_pe,0,rope,rope,0.967738
cross_pe,1,rope,rope,0.942419
cross_pe,2,rope,rope,0.919055
cross_pe,3,rope,rope,0.881869
cross_pe,4,rope,rope,0.862553
cross_pe,5,rope,rope,0.848659
cross_pe,6,rope,rope,0.828595
